TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SULA3;7,43;;52,32;1,13;0,31;4,25;-3,34;0,83;-12,95;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,95;9.475.042.424,17
SULA4;7,63;;53,73;1,17;0,32;4,25;-3,34;0,83;-13,30;6,54;19,47;-1,71;0,44;0,88;-0,93;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;;6,55;0,14;-0,97;9.475.042.424,17
SUZB3;53,19;3,80;-70,47;1,75;0,43;40,54;31,11;-1,93;4,36;9,21;4,85;1,94;1,36;3,16;-0,56;2,61;-2,48;-0,61;10,53;0,25;0,75;0,32;12,75;;312.777.829,32;30,38;-0,75;0,64;67.187.851.237,25
SYNE3;5,77;58,11;1,57;0,80;0,28;41,41;62,11;42,00;1,06;1,55;0,48;0,37;0,66;0,90;-0,44;5,43;51,13;17,62;24,74;0,34;0,41;0,42;23,59;76,27;3.099.754,00;7,15;3,66;0,00;877.705.558,75
TAEE11;35,63;7,71;7,26;1,68;0,58;63,45;73,56;42,45;4,19;7,43;3,24;1,30;3,08;8,52;-0,68;1,85;23,09;8,01;15,53;0,35;0,65;0,19;15,68;10,96;78.380.333,89;21,18;4,89;0,32;12.233.156.187,57
TAEE3;11,85;7,80;7,18;1,66;0,58;63,45;73,56;42,45;4,14;7,43;3,24;1,30;3,05;8,43;-0,68;1,85;23,09;8,01;15,53;0,35;0,65;0,19;15,68;10,96;975.434,63;7,06;1,63;0,32;12.233.156.187,57
TAEE4;11,88;7,70;7,27;1,68;0,58;63,45;73,56;42,45;4,19;7,43;3,24;1,30;3,09;8,53;-0,68;1,85;23,09;8,01;15,53;0,35;0,65;0,19;15,68;10,96;2.166.945,32;7,06;1,63;0,32;12.233.156.187,57
TASA3;8,26;2,45;15,08;0,91;0,45;34,96;9,47;4,85;7,72;10,97;3,60;0,42;0,73;1,91;-1,07;1,70;6,01;3,01;6,87;0,50;0,50;0,62;10,85;11,93;150.456,95;9,10;0,55;-0,34;1.097.675.644,82
TASA4;7,70;2,65;13,99;0,84;0,42;34,96;9,47;4,85;7,16;10,97;3,60;0,42;0,68;1,77;-0,99;1,70;6,01;3,01;6,87;0,50;0,50;0,62;10,85;11,93;3.870.401,16;9,10;0,55;-0,32;1.097.675.644,82
TCNO3;1,20;;-7,52;-8,40;0,03;;;;-6,81;-34,51;-28,98;;;-0,08;-0,04;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,28;6.451.072,50
TCNO4;0,85;;-5,33;-5,95;0,02;;;;-4,82;-34,51;-28,98;;;-0,06;-0,03;0,28;-111,63;-0,45;-3,55;0,00;1,00;0,00;;;;-0,14;-0,16;-0,20;6.451.072,50
TCSA3;1,26;;-0,68;0,25;0,07;-8,15;-21,52;-31,51;-1,00;-5,85;-4,85;1,18;0,22;2,87;-0,12;1,08;-35,79;-10,80;-10,72;0,30;0,69;0,34;5,16;;134.405,79;5,14;-1,84;-0,01;92.760.229,80
TECN3;6,00;3,99;5,84;0,91;0,54;54,67;16,13;15,17;5,49;5,67;0,18;0,03;0,89;1,18;-1,62;3,20;15,53;9,25;10,50;0,60;0,40;0,61;4,83;;756.456,26;6,60;1,03;0,79;370.518.727,85
TEKA3;42,50;;-0,13;-0,01;0,02;24,58;-4,48;-52,80;-1,47;-43,28;-42,29;;0,07;-0,01;-0,02;0,05;-7,76;-13,93;0,93;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;-0,01;14.260.237,50
TEKA4;21,25;;-0,06;0,00;0,01;24,58;-4,48;-52,80;-0,74;-43,28;-42,29;;0,03;0,00;-0,01;0,05;-7,76;-13,93;0,93;-1,80;2,80;0,26;14,82;;0,00;-4.378,29;-339,62;0,00;14.260.237,50
TELB3;13,22;;-5,03;0,99;0,31;-58,26;-39,90;-61,12;-7,71;0,85;8,10;-1,04;3,08;0,88;-0,54;4,92;-19,59;-6,06;-12,12;0,31;0,69;0,10;15,86;;12.249,37;13,09;-2,56;-0,04;1.134.698.315,35
TELB4;8,95;;-3,49;0,68;0,21;-58,26;-39,90;-61,12;-5,35;0,85;8,10;-1,04;2,13;0,61;-0,38;4,92;-19,59;-6,06;-12,12;0,31;0,69;0,10;15,86;;20.126,53;13,09;-2,56;-0,03;1.134.698.315,35
TEND3;19,95;0,86;13,04;2,26;0,48;28,78;10,02;5,51;7,17;8,47;1,30;0,41;0,72;1,85;-1,16;1,77;17,30;3,65;14,62;0,21;0,78;0,66;10,99;-6,58;48.087.687,95;8,84;1,53;0,00;2.445.434.132,40
TESA3;48,00;;-13,30;1,62;0,52;15,86;9,39;-7,58;10,73;17,39;6,66;1,01;1,01;-11,10;-0,74;0,86;-12,18;-3,94;3,93;0,32;0,68;0,52;7,32;;;29,64;-3,61;0,83;1.389.696.672,00
TFCO4;13,60;1,68;98,64;25,71;15,00;57,23;20,42;14,30;69,05;11,76;0,54;0,20;14,10;34,38;-48,40;2,72;26,06;15,21;23,30;0,58;0,42;1,06;30,70;40,02;7.694.669,84;0,51;0,13;10,92;2.022.477.619,80
TGMA3;34,80;7,41;8,31;2,38;1,70;21,57;17,64;12,90;6,08;5,71;-0,37;-0,15;1,07;4,72;-3,58;3,20;28,62;20,47;23,01;0,72;0,28;1,59;9,18;7,33;8.905.024,05;14,62;4,19;0,17;2.296.901.442,00
TIET11;12,54;;-17,06;0,95;0,24;0,00;21,64;-7,77;6,13;18,71;12,58;1,95;1,33;-6,45;-0,29;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;13,19;-0,73;0,06;5.004.795.800,93
TIET3;3,49;;-23,75;1,32;0,33;0,00;21,64;-7,77;8,52;18,71;12,58;1,95;1,84;-8,98;-0,41;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;2,64;-0,15;0,08;5.004.795.800,93
TIET4;3,51;;-23,88;1,33;0,33;0,00;21,64;-7,77;8,57;18,71;12,58;1,95;1,85;-9,03;-0,41;0,84;-5,57;-1,40;4,63;0,25;0,75;0,18;4,60;;;2,64;-0,15;0,08;5.004.795.800,93
TIMS3;19,53;8,41;31,65;3,40;0,84;53,30;22,08;5,83;8,35;7,38;-0,97;-0,40;1,84;-40,12;-1,09;0,92;10,73;2,64;23,99;0,25;0,61;0,45;7,93;-16,17;135.357.918,89;5,77;0,62;-1,38;47.471.974.244,78
TKNO3;99,98;7,01;6,14;0,91;0,72;26,46;17,21;16,12;5,75;3,91;-1,34;-0,21;0,99;1,70;-1,77;3,45;14,79;11,71;12,14;0,79;0,21;0,73;15,06;38,60;0,00;110,12;16,28;0,32;268.895.786,98
TKNO4;81,00;8,70;4,97;0,74;0,58;26,46;17,21;16,12;4,66;3,91;-1,34;-0,21;0,80;1,38;-1,43;3,45;14,79;11,71;12,14;0,79;0,21;0,73;15,06;38,60;1.815,56;110,12;16,28;0,26;268.895.786,98
TOTS3;42,09;1,40;32,13;5,26;2,91;69,74;17,31;14,44;26,81;26,48;-0,33;-0,07;4,64;14,31;-4,38;2,52;16,37;9,04;12,91;0,55;0,41;0,63;18,01;30,22;156.523.060,05;8,01;1,31;13,57;25.234.806.560,10
TOYB3;2,29;;-43,94;0,03;0,00;24,06;-10,70;-10,96;-45,00;-46,99;;;4,81;0,34;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;0,03;0,00;24,06;-10,70;-10,96;-49,12;-46,99;;;5,26;0,37;0,00;;-0,07;0,00;;0,05;0,95;0,00;201,60;;;76,91;-0,05;0,52;71.890.222,22
TPIS3;4,10;5,62;8,94;0,20;0,07;35,31;1,93;1,55;7,19;59,93;52,74;1,45;0,14;-0,16;-0,07;0,13;2,21;0,74;-2,48;0,34;0,67;0,48;5,93;;124.520,32;20,74;0,46;-0,13;180.400.000,00
TRAD3;7,82;;-3,59;1,65;1,51;29,79;-208,33;-206,52;-3,56;-3,26;0,30;-0,14;7,42;6,99;-2,11;4,05;-45,90;-41,97;-46,81;0,91;0,09;0,20;54,39;;275.437,63;4,67;-2,14;0,06;308.161.846,30
TRIS3;7,12;4,28;7,19;0,87;0,42;29,53;15,35;13,86;6,50;8,26;1,76;0,24;1,00;0,70;-2,63;3,57;12,16;5,85;6,94;0,48;0,51;0,42;11,01;5,42;4.095.536,42;8,04;0,98;0,16;1.311.921.292,14
TTEN3;14,58;1,32;9,08;1,74;0,73;18,63;8,77;5,82;6,02;6,49;0,46;0,13;0,53;3,63;-2,12;1,45;19,11;8,07;14,38;0,42;0,58;1,39;41,95;45,71;24.542.375,63;8,33;1,59;0,34;7.205.383.975,62
TUPY3;18,87;8,19;-63,60;0,82;0,25;17,47;4,55;-0,41;5,67;10,97;5,30;0,77;0,26;0,70;-0,70;2,33;-1,29;-0,40;4,08;0,31;0,69;0,99;15,61;;21.085.171,84;22,99;-0,30;0,58;2.720.629.425,00
TXRX3;8,50;;-0,83;-0,10;0,21;19,79;2,57;-37,23;11,96;112,59;106,73;;0,31;-0,21;-0,34;0,27;-12,15;-25,96;-7,82;-2,14;3,14;0,70;2,30;;60,71;-84,66;-10,29;0,00;17.734.240,48
